Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
107269366,10/1/2020 0:13,10/1/2020 0:30,70529,1025,1039,Atwood St & Bates St,1048,S 18th St & Sidney St,Subscriber
107269368,10/1/2020 0:13,10/1/2020 0:30,70556,1007,1039,Atwood St & Bates St,1048,S 18th St & Sidney St,Subscriber
107270605,10/1/2020 0:59,10/1/2020 1:31,70280,1946,1093,S Bouquet Ave & Sennott St,1039,Atwood St & Bates St,Customer
107270698,10/1/2020 1:01,10/1/2020 1:31,70167,1836,1093,S Bouquet Ave & Sennott St,1039,Atwood St & Bates St,Customer
107270798,10/1/2020 1:03,10/1/2020 1:30,70501,1622,1093,S Bouquet Ave & Sennott St,1039,Atwood St & Bates St,Customer
107280741,10/1/2020 3:43,10/1/2020 3:50,70553,410,1028,Penn Ave & Putnam St (Bakery Square),1024,S Negley Ave & Baum Blvd,Subscriber
107282663,10/1/2020 4:50,10/1/2020 4:57,70649,454,1014,Ridge Ave & Brighton Rd (CCAC),49691,Liberty Ave & 6th St,Customer
107282942,10/1/2020 4:55,10/1/2020 5:07,70548,761,1061,33rd St & Penn Ave ,49641,11th St & Penn Ave,Subscriber
107286525,10/1/2020 6:03,10/1/2020 7:01,70362,3476,1074,South Side Trail & S 4th St,1000,Liberty Ave & Stanwix St,Subscriber
107286529,10/1/2020 6:03,10/1/2020 7:01,70025,3462,1074,South Side Trail & S 4th St,1000,Liberty Ave & Stanwix St,Subscriber
107286621,10/1/2020 6:05,10/1/2020 6:24,70530,1156,1084,Hot Metal St & Tunnel Blvd,1004,First Ave & B St (T Station),Customer
107286756,10/1/2020 6:07,10/1/2020 6:23,70673,945,1062,S Winebiddle St & Penn Ave,1027,Shady Ave & Ellsworth Ave,Subscriber
107287129,10/1/2020 6:13,10/1/2020 6:29,70041,943,1033,Ivy St & Walnut St   ,1094,O'Hara St & Desoto St,Subscriber
107287416,10/1/2020 6:18,10/1/2020 6:27,70212,557,49641,11th St & Penn Ave,1060,Penn Ave & 29th St,Subscriber
107288749,10/1/2020 6:39,10/1/2020 6:48,70211,564,1026,Penn Ave & S Whitfield St,1063,Penn Ave & N Atlantic Ave,Customer
107289083,10/1/2020 6:44,10/1/2020 6:58,70439,830,1061,33rd St & Penn Ave ,1011,Fort Duquesne Blvd & 7th St,Subscriber
107292043,10/1/2020 7:27,10/1/2020 7:37,70482,586,1026,Penn Ave & S Whitfield St,1043,S Millvale Ave & Centre Ave,Subscriber
107293079,10/1/2020 7:39,10/1/2020 7:44,70605,345,49301,Centre Ave & N Craig St,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),Subscriber
107294694,10/1/2020 8:00,10/1/2020 8:03,70112,220,1060,Penn Ave & 29th St,1060,Penn Ave & 29th St,Subscriber
107294856,10/1/2020 8:02,10/1/2020 8:14,70212,724,1060,Penn Ave & 29th St,1056,Wood St & Sixth Ave,Subscriber
107296512,10/1/2020 8:21,10/1/2020 8:30,70645,502,1097,Tennyson Ave & Fifth Ave,1091,Semple St & Louisa St,Subscriber
107297440,10/1/2020 8:33,10/1/2020 8:50,70645,977,1091,Semple St & Louisa St,1097,Tennyson Ave & Fifth Ave,Subscriber
107297565,10/1/2020 8:35,10/1/2020 8:44,70625,550,1034,Ellsworth Ave & N Neville St,1093,S Bouquet Ave & Sennott St,Subscriber
107298650,10/1/2020 8:47,10/1/2020 9:08,70131,1234,49401,Stanton Ave & N Negley Ave,49271,S Craig St & 5th Ave,Subscriber
107298675,10/1/2020 8:48,10/1/2020 8:55,70190,445,1088,Frazier St & Dawson St,1093,S Bouquet Ave & Sennott St,Subscriber
107298734,10/1/2020 8:48,10/1/2020 8:59,70525,605,1033,Ivy St & Walnut St   ,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
107298787,10/1/2020 8:49,10/1/2020 9:01,70165,692,1056,Wood St & Sixth Ave,49611,24th St & Smallman St,Customer
107299009,10/1/2020 8:52,10/1/2020 9:02,70544,630,1008,Centre Ave & PPG Paints Arena,1001,Forbes Ave & Market Square,Subscriber
107299117,10/1/2020 8:53,10/1/2020 8:58,70501,299,1039,Atwood St & Bates St,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
107299356,10/1/2020 8:56,10/1/2020 9:02,70283,391,49301,Centre Ave & N Craig St,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),Subscriber
107299705,10/1/2020 9:00,10/1/2020 9:24,70653,1452,1045,S 27th St & Sidney St. (Southside Works),1041,Fifth Ave & S Bouquet St,Subscriber
107299766,10/1/2020 9:00,10/1/2020 9:10,70625,557,1093,S Bouquet Ave & Sennott St,1034,Ellsworth Ave & N Neville St,Subscriber
107300439,10/1/2020 9:07,10/1/2020 11:15,70677,7662,1031,Maryland Ave & Ellsworth Ave,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),Subscriber
107300633,10/1/2020 9:09,10/1/2020 9:22,70501,748,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1084,Hot Metal St & Tunnel Blvd,Subscriber
107301904,10/1/2020 9:23,10/1/2020 9:47,70645,1451,1097,Tennyson Ave & Fifth Ave,1023,Liberty Ave & Baum Blvd,Subscriber
107305086,10/1/2020 9:54,10/1/2020 9:59,70605,323,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),49301,Centre Ave & N Craig St,Subscriber
107305544,10/1/2020 9:58,10/1/2020 10:05,70297,384,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
107307508,10/1/2020 10:15,10/1/2020 10:22,70643,386,1064,Frankstown Ave & E Liberty Blvd,49391,E Liberty Blvd & Negley Ave,Customer
107307514,10/1/2020 10:16,10/1/2020 10:23,70060,469,49671,9th St & Penn Ave,1017,21st St & Penn Ave,Subscriber
107307698,10/1/2020 10:17,10/1/2020 10:29,70625,694,1034,Ellsworth Ave & N Neville St,1023,Liberty Ave & Baum Blvd,Customer
107308876,10/1/2020 10:28,10/1/2020 10:48,70525,1193,1028,Penn Ave & Putnam St (Bakery Square),1028,Penn Ave & Putnam St (Bakery Square),Subscriber
107308881,10/1/2020 10:28,10/1/2020 10:49,70648,1244,49391,E Liberty Blvd & Negley Ave,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),Subscriber
107309948,10/1/2020 10:38,10/1/2020 10:43,70642,301,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1039,Atwood St & Bates St,Subscriber
107310008,10/1/2020 10:38,10/1/2020 10:51,70567,783,1021,Taylor St & Liberty Ave,49611,24th St & Smallman St,Subscriber
107311455,10/1/2020 10:52,10/1/2020 11:28,70271,2190,1048,S 18th St & Sidney St,1070,Hobart St & Wightman St,Customer
107311527,10/1/2020 10:52,10/1/2020 11:28,70444,2149,1048,S 18th St & Sidney St,1070,Hobart St & Wightman St,Customer
107311956,10/1/2020 10:56,10/1/2020 11:02,70512,364,1049,S 12th St & E Carson St,1048,S 18th St & Sidney St,Subscriber
107312750,10/1/2020 11:04,10/1/2020 11:26,70679,1339,1039,Atwood St & Bates St,1039,Atwood St & Bates St,Customer
107312955,10/1/2020 11:05,10/1/2020 11:26,70167,1246,1039,Atwood St & Bates St,1039,Atwood St & Bates St,Customer
107313063,10/1/2020 11:06,10/1/2020 11:16,70512,606,1048,S 18th St & Sidney St,1045,S 27th St & Sidney St. (Southside Works),Subscriber
107313255,10/1/2020 11:08,10/1/2020 11:14,70642,387,1039,Atwood St & Bates St,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
107313663,10/1/2020 11:11,10/1/2020 11:24,70087,803,1023,Liberty Ave & Baum Blvd,1026,Penn Ave & S Whitfield St,Subscriber
107313770,10/1/2020 11:12,10/1/2020 11:55,70548,2584,49641,11th St & Penn Ave,49641,11th St & Penn Ave,Subscriber
107314049,10/1/2020 11:15,10/1/2020 12:17,70166,3709,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),Customer
107315064,10/1/2020 11:24,10/1/2020 11:35,70365,669,49581,Liberty Ave & 37th St,1017,21st St & Penn Ave,Customer
