Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
91343735,1/2/2020 17:02,1/2/2020 17:11,70352,571,1056,Wood St & Sixth Ave,1017,21st St & Penn Ave,Customer
91420073,1/6/2020 12:34,1/6/2020 12:36,71163,93,,BIKE 71163,,BIKE 71163,Customer
91473714,1/8/2020 10:07,1/8/2020 10:09,70457,114,1061,33rd St & Penn Ave,1061,33rd St & Penn Ave,Customer
91473960,1/8/2020 10:13,1/8/2020 10:43,70457,1791,1061,33rd St & Penn Ave,1061,33rd St & Penn Ave,Customer
91513884,1/9/2020 15:03,1/9/2020 15:05,70146,119,49731,Ross St & Fourth Ave,1005,Forbes Ave & Grant St,Subscriber
91571368,1/11/2020 15:42,1/11/2020 16:19,70002,2258,1045,S 27th St & Sidney St. (Southside Works),1015,Federal St & E North Ave,Subscriber
91591928,1/12/2020 14:07,1/13/2020 16:45,70183,95871,1025,Penn Ave & N Fairmount St,,BIKE 70183,Customer
91698783,1/15/2020 19:19,1/15/2020 19:23,70492,252,49311,Hamilton Ave & N Dallas Ave,49311,Hamilton Ave & N Dallas Ave,Subscriber
91752334,1/17/2020 8:28,1/17/2020 8:39,70031,618,49881,Arch St & Jacksonia St,1001,Forbes Ave & Market Square,Subscriber
91769236,1/17/2020 17:49,1/18/2020 10:25,70031,59734,1001,Forbes Ave & Market Square,1049,S 12th St & E Carson St,Customer
91844501,1/20/2020 13:52,1/20/2020 15:47,70267,6936,1051,Transit,1051,Transit,Subscriber
91863393,1/21/2020 8:05,1/21/2020 10:14,70352,7717,49501,Penn Ave & 39th St,1061,33rd St & Penn Ave,Customer
92004581,1/25/2020 18:59,1/26/2020 14:29,70233,70203,1061,33rd St & Penn Ave,49561,Butler St & 48th St,Subscriber
92109113,1/29/2020 12:01,1/29/2020 15:31,70477,12572,1061,33rd St & Penn Ave,1061,33rd St & Penn Ave,Customer
92116753,1/29/2020 17:11,1/29/2020 17:18,70000,366,1024,S Negley Ave & Baum Blvd,49391,E Liberty Blvd & Negley Ave,Subscriber
92150409,1/30/2020 21:01,1/30/2020 21:20,70422,1114,49611,24th St & Smallman St,1015,Federal St & E North Ave,Customer
92205278,2/1/2020 12:56,2/1/2020 13:04,70019,451,1061,33rd St & Penn Ave,1061,33rd St & Penn Ave,Customer
92242610,2/3/2020 6:25,2/3/2020 6:32,70587,426,49641,11th St & Penn Ave,,BIKE 70587,Customer
92245526,2/3/2020 7:56,2/3/2020 14:32,70587,23723,,BIKE 70587,49671,9th St & Penn Ave,Customer
92317043,2/5/2020 11:36,2/5/2020 13:04,70021,5277,1017,21st St & Penn Ave,1017,21st St & Penn Ave,Customer
92320957,2/5/2020 12:58,2/6/2020 14:14,70229,91005,1093,S Bouquet Ave & Sennott St,1024,S Negley Ave & Baum Blvd,Customer
92327532,2/5/2020 17:41,2/6/2020 11:02,70665,62480,49271,S Craig St & 5th Ave,1024,S Negley Ave & Baum Blvd,Customer
92327594,2/5/2020 17:45,2/5/2020 18:34,70379,2908,1002,Third Ave & Wood St,1056,Wood St & Sixth Ave,Subscriber
92327627,2/5/2020 17:48,2/5/2020 18:40,70541,3114,1011,Fort Duquesne Blvd & 7th St,,BIKE 70541,Subscriber
92327811,2/5/2020 18:08,2/5/2020 18:21,70347,784,1038,Boulevard of the Allies & Parkview Ave,1034,Ellsworth Ave & N Neville St,Subscriber
92327816,2/5/2020 18:08,2/5/2020 18:14,70618,314,1084,Hot Metal St & Tunnel Blvd,1047,S 22nd St & E Carson St,Subscriber
92327836,2/5/2020 18:11,2/5/2020 18:20,70510,590,1012,North Shore Trail & Fort Duquesne Bridge,,Bike 70510,Subscriber
92327870,2/5/2020 18:14,2/5/2020 18:47,70101,2014,1049,S 12th St & E Carson St,1021,Taylor St & Liberty Ave,Customer
92327895,2/5/2020 18:18,2/6/2020 12:30,70647,65525,1059,Burns White Center at 3 Crossings,1016,17th St & Penn Ave,Subscriber
92327906,2/5/2020 18:20,2/5/2020 18:31,70042,703,49611,24th St & Smallman St,49691,Liberty Ave & 6th St,Subscriber
92327921,2/5/2020 18:22,2/5/2020 18:39,70513,1054,1032,Walnut St & College St,1033,Ivy St & Walnut St   ,Subscriber
92327973,2/5/2020 18:28,2/5/2020 18:37,70150,584,49611,24th St & Smallman St,49651,Grant St & Strawberry Way,Subscriber
92327974,2/5/2020 18:28,2/5/2020 18:41,70648,782,49611,24th St & Smallman St,1000,Liberty Ave & Stanwix St,Subscriber
92328024,2/5/2020 18:34,2/5/2020 18:43,70653,555,49671,9th St & Penn Ave,1059,Burns White Center at 3 Crossings,Subscriber
92328114,2/5/2020 18:47,2/5/2020 19:15,70541,1718,,BIKE 70541,1004,First Ave & B St (T Station),Subscriber
92328126,2/5/2020 18:48,2/5/2020 18:58,70254,628,49621,14th St & Penn Ave,1059,Burns White Center at 3 Crossings,Subscriber
92328279,2/5/2020 19:15,2/7/2020 8:50,70635,135304,1094,O'Hara St & Desoto St,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
92328292,2/5/2020 19:17,2/5/2020 20:19,70541,3675,1004,First Ave & B St (T Station),,BIKE 70541,Subscriber
92328312,2/5/2020 19:22,2/5/2020 19:29,70594,440,1002,Third Ave & Wood St,1049,S 12th St & E Carson St,Subscriber
92328380,2/5/2020 19:34,2/5/2020 19:43,70343,517,49271,S Craig St & 5th Ave,1023,Liberty Ave & Baum Blvd,Subscriber
92328433,2/5/2020 19:44,2/5/2020 19:49,70351,306,1025,Penn Ave & N Fairmount St,49391,E Liberty Blvd & Negley Ave,Subscriber
92328613,2/5/2020 20:17,2/5/2020 21:00,70508,2556,1034,Ellsworth Ave & N Neville St,,BIKE 70508,Subscriber
92328636,2/5/2020 20:22,2/5/2020 20:58,70541,2188,,BIKE 70541,1069,Beacon St & Murray Ave,Subscriber
92328639,2/5/2020 20:22,2/5/2020 20:31,70130,531,1094,O'Hara St & Desoto St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
92328765,2/5/2020 20:47,2/5/2020 21:11,70598,1422,49601,Smallman St & 31st St,1034,Ellsworth Ave & N Neville St,Subscriber
92328835,2/5/2020 21:04,2/5/2020 21:22,70508,1056,,BIKE 70508,1038,Boulevard of the Allies & Parkview Ave,Subscriber
92329134,2/5/2020 22:36,2/5/2020 22:41,70340,302,49781,Fifth Ave & Miltenberger St,1006,Ross St & Sixth Ave (Steel Plaza T Station),Subscriber
92329618,2/6/2020 0:16,2/6/2020 0:22,70314,346,1052,McNulty Dr & Forbes Ave,1049,S 12th St & E Carson St,Subscriber
92338617,2/6/2020 5:41,2/6/2020 5:49,70225,434,1061,33rd St & Penn Ave,49561,Butler St & 48th St,Subscriber
92338944,2/6/2020 5:52,2/6/2020 6:12,70380,1196,49441,Roup Ave & Friendship Ave,1001,Forbes Ave & Market Square,Subscriber
92339983,2/6/2020 6:26,2/6/2020 6:30,70097,273,1008,Centre Ave & PPG Paints Arena,,BIKE 70097,Subscriber
92340243,2/6/2020 6:35,2/6/2020 6:49,70145,852,1024,S Negley Ave & Baum Blvd,1094,O'Hara St & Desoto St,Subscriber
